"id_serial";"novelty_date";"available_date"
"5155";"2017-09-27";"2018-01-02"
"5171";"2017-10-12";"2018-01-02"
"5239";"2017-09-07";"2018-01-03"
"5402";"2018-02-12";"2018-05-07"
"5026";"2016-05-31";"2017-01-02"
"5158";"2016-08-31";"2017-01-04"
"5206";"2017-09-27";"2018-01-01"
"5159";"2016-08-31";"2017-01-03"
"5207";"2017-09-27";"2018-01-01"
"5161";"2017-10-23";"2018-01-03"
"5127";"2016-11-23";"2017-01-01"
"5130";"2016-08-24";"2017-01-03"
"5166";"2016-12-12";"2017-01-03"
"5198";"2016-09-16";"2017-01-02"
"5150";"2017-09-07";"2018-01-02"
"5214";"2017-10-10";"2018-01-02"
"5132";"2016-08-24";"2017-01-03"
"5152";"2017-09-07";"2018-01-03"
"5181";"2017-08-30";"2018-01-03"
"5200";"2017-09-19";"2018-01-03"
"5095";"2016-08-06";"2017-01-01"
"5137";"2016-08-25";"2016-12-30"
"5138";"2016-08-25";"2016-12-30"
"5139";"2017-09-27";"2017-12-30"
"5140";"2016-08-25";"2016-12-30"
"4808";"2016-05-05";"2016-12-30"
"5298";"2017-02-13";"2017-04-12"
"4893";"2016-03-23";"2016-12-29"
"5025";"2016-05-31";"2016-12-28"
"5172";"2017-11-06";"2017-12-28"
"5173";"2017-08-29";"2017-12-28"
"5129";"2016-08-24";"2016-12-27"
"5165";"2016-12-14";"2016-12-27"
"5131";"2016-08-24";"2016-12-27"
"5180";"2017-08-30";"2017-12-28"
"5199";"2017-09-19";"2017-12-28"
"5203";"2016-10-05";"2016-12-27"
"5160";"2017-09-22";"2017-12-26"
"4882";"2016-03-09";"2016-12-26"
"5090";"2016-08-06";"2016-12-26"
"5184";"2016-09-10";"2016-12-28"
"5204";"2016-09-20";"2016-12-28"
"5334";"2016-11-14";"2016-12-26"
"5193";"2017-09-07";"2017-12-26"
"5067";"2016-07-28";"2017-03-31"
"4891";"2016-03-16";"2016-12-25"
"4733";"2017-11-27";"2018-12-20"
"3078";"2016-08-31";"2017-04-17"
"4810";"2017-12-06";"2018-04-30"
"5167";"2017-08-01";"2017-10-31"
"5202";"2016-09-27";"2017-12-23"
"4714";"2016-11-18";"2017-04-30"
"4921";"2018-04-18";"2018-09-30"
"4713";"2016-11-18";"2017-04-30"
"5006";"2016-05-24";"2016-12-21"
"5007";"2016-08-02";"2016-12-21"
"5210";"2018-01-31";"2018-12-20"
"5211";"2017-02-02";"2017-12-21"
"4751";"2015-12-22";"2016-12-20"
"4715";"2018-01-16";"2018-12-20"
"4752";"2015-12-22";"2016-12-20"
"5061";"2016-10-18";"2017-12-20"
"4638";"2016-12-05";"2017-12-31"
"4716";"2018-01-16";"2018-12-20"
"4753";"2015-12-22";"2016-12-20"
"4639";"2016-12-05";"2017-01-20"
"4652";"2016-10-07";"2017-12-20"
"4754";"2016-09-01";"2016-12-20"
"4755";"2016-09-28";"2017-12-20"
"4654";"2016-12-02";"2017-12-20"
"4917";"2018-04-18";"2018-09-30"
"4990";"2016-05-14";"2016-12-20"
"5028";"2016-06-10";"2016-12-20"
"5084";"2017-07-07";"2017-12-20"
"4642";"2016-12-05";"2016-12-20"
"4790";"2016-01-13";"2016-12-20"
"4918";"2018-04-18";"2018-09-30"
"4991";"2017-10-05";"2018-12-22"
"5085";"2016-07-28";"2016-12-20"
"4791";"2016-01-13";"2016-12-20"
"4824";"2016-02-03";"2016-12-20"
"4919";"2018-04-18";"2018-09-30"
"4792";"2016-01-13";"2016-12-20"
"4864";"2017-02-03";"2017-12-20"
"4920";"2018-04-18";"2018-09-30"
"4537";"2015-09-15";"2016-12-20"
"4793";"2016-01-13";"2016-12-20"
"4866";"2018-04-18";"2018-09-30"
"5359";"2017-10-05";"2018-12-22"
"4725";"2016-11-16";"2017-12-20"
"4764";"2018-04-18";"2018-12-20"
"5019";"2016-05-27";"2016-12-20"
"4726";"2016-11-16";"2017-12-20"
"5020";"2016-05-27";"2016-12-20"
"4727";"2016-11-16";"2017-12-20"
"4749";"2018-01-31";"2018-10-30"
