"id_serial";"id_typ";"strava";"doprava";"ubytovani";"ubytovani_kategorie";"zeme";"destinace";"AVG(prumerna_cena)";"AVG(prumerna_cena_noc)";"AVG(delka)"
"3308";"3";"3";"1";"6";"2.00";"Slovensko";"Dudince";"3589.7500";"1196.5000";"4.0000"
"3309";"3";"3";"1";"6";"2.00";"Slovensko";"Dudince";"4037.8333";"971.6667";"5.0000"
"3322";"3";"3";"1";"7";"0.00";"Česká republika";"Poděbrady";"2954.0000";"1477.0000";"3.0000"
"3323";"3";"3";"1";"7";"0.00";"Česká republika";"Poděbrady";"3508.0000";"1754.0000";"3.0000"
"3324";"3";"4";"1";"7";"4.00";"Česká republika";"Poděbrady";"7692.5000";"1472.8750";"6.2500"
"3325";"3";"3";"1";"7";"0.00";"Česká republika";"Poděbrady";"4788.0000";"1595.9000";"4.0000"
"2855";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Mšené";"8165.0000";"1166.0000";"8.0000"
"2854";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Mšené";"3879.7368";"2040.4211";"2.8947"
"3395";"7";"2";"1";"6";"3.00";"Slovensko";"Nízké Tatry";"6656.5057";"1592.7471";"4.6552"
"1665";"3";"3";"1";"7";"0.00";"Slovensko";"Turčianské Teplice";"7783.6000";"1931.8000";"5.0400"
"605";"3";"3";"1";"7";"0.00";"Česká republika:Česká republika, víkendové pobyty";"Mariánské Lázně";"3491.4286";"1644.0714";"3.8571"
"741";"3";"3";"1";"7";"0.00";"Česká republika:Česká republika, víkendové pobyty";"Mariánské Lázně";"5324.5625";"1973.8125";"4.3125"
"1512";"3";"3";"1";"7";"0.00";"Česká republika:Česká republika, víkendové pobyty";"Mariánské Lázně";"7730.0000";"1110.6000";"9.2000"
"3458";"7";"2";"1";"7";"0.00";"Slovensko";"Liptovský Mikuláš:Nízké Tatry";"2802.3291";"769.1266";"4.4810"
"3460";"7";"2";"1";"7";"0.00";"Slovensko";"Vysoké Tatry";"3588.7816";"1020.5747";"4.2414"
